Brand & Model,Varient,Fuel Type,Driven Kilometers,Transmission,Owner,Location,Date of Posting Ad,Price (in ₹)
Audi A6 (2015),35 TDI,DIESEL,79800.0 KM,AUTOMATIC,2nd Owner,"Richmond Road, Bengaluru",01-27-2022,2100000
Audi A6 (2015),35 TDI,DIESEL,79800.0 KM,AUTOMATIC,2nd Owner,"Richmond Road, Bengaluru",01-27-2022,2100000
Hyundai I20 (2017),1.2 Asta,PETROL,"33,000 KM",MANUAL,2nd Owner,"New Timber Market Area, Raipur",01-27-2022,620000
Hyundai I20 (2017),1.2 Asta,PETROL,"33,000 KM",MANUAL,2nd Owner,"New Timber Market Area, Raipur",01-27-2022,620000
Audi Q3 (2016),35 TDI Quattro Premium Plus,DIESEL,"80,000 KM",AUTOMATIC,2nd Owner,"Mr 10 Road, Indore",01-08-2022,1750000
Audi Q3 (2016),35 TDI Quattro Premium Plus,DIESEL,"80,000 KM",AUTOMATIC,2nd Owner,"Mr 10 Road, Indore",01-08-2022,1750000
Volvo Xc60 (2017),Momentum D4,DIESEL,"89,000 KM",AUTOMATIC,2nd Owner,"Mehdipatnam, Hyderabad",01-27-2022,2400000
Volvo Xc60 (2017),Momentum D4,DIESEL,"89,000 KM",AUTOMATIC,2nd Owner,"Mehdipatnam, Hyderabad",01-27-2022,2400000
Toyota Innova (2007),2.5 EV Diesel MS 8 Str BSIII,DIESEL,"185,000 KM",MANUAL,2nd Owner,"Dabeerpura, Hyderabad",01-27-2022,400000
Hyundai I20 (2017),1.2 Asta,PETROL,"33,000 KM",MANUAL,2nd Owner,"New Timber Market Area, Raipur",01-27-2022,620000
Honda Amaze (2013),1.5 V CVT ( I-DTEC) Manual,PETROL,"88,800 KM",MANUAL,1st Owner,"Sabzi Mandi, Shimla",01-27-2022,315000
Maruti Suzuki 800 (2004),Std MPFi,PETROL,70000 KM,MANUAL,Third Owner,"Khed Shivapur, Pune",Maharashtra,49999
Audi Q3 (2016),35 TDI Quattro Premium Plus,DIESEL,"80,000 KM",AUTOMATIC,2nd Owner,"Mr 10 Road, Indore",01-08-2022,1750000
Honda Jazz (2015),V Automatic,PETROL,21000.0 KM,AUTOMATIC,2nd Owner,"Janakpuri, Delhi",01-25-2022,500000
Volkswagen Vento (2012),1.6 Highline,DIESEL,"145,000 KM",MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000
Volkswagen Vento (2012),1.6 Highline,DIESEL,"145,000 KM",MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000
Volkswagen Vento (2012),1.6 Highline,DIESEL,"145,000 KM",MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000
Volkswagen Vento (2012),1.6 Highline,DIESEL,"145,000 KM",MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000
Volkswagen Vento (2012),1.6 Highline,DIESEL,"145,000 KM",MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000
Volkswagen Vento (2012),1.6 Highline,DIESEL,"145,000 KM",MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000
Volkswagen Vento (2012),1.6 Highline,DIESEL,"145,000 KM",MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000
Honda Jazz (2015),V Automatic,PETROL,21000.0 KM,AUTOMATIC,2nd Owner,"Janakpuri, Delhi",01-25-2022,500000
Chevrolet Optra Magnum (2009),1.6 LS Petrol,PETROL,90000 KM,MANUAL,Fourth Owner,"Najafgarh, Delhi",01/25/2022,85000
Chevrolet Optra Magnum (2009),1.6 LS Petrol,PETROL,90000 KM,MANUAL,Fourth Owner,"Najafgarh, Delhi",01/25/2022,85000
Maruti Suzuki 800 (2004),Std MPFi,PETROL,70000 KM,MANUAL,Third Owner,"Khed Shivapur, Pune",01/24/2022,49999
